C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_19_711.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_19_711.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_19_711.jpg,0,0,0,8.858789E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_19_763.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_19_763.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_19_763.jpg,0,0,0,1.23264E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_19_831.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_19_831.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_19_831.jpg,0,0,0,5.979415E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_19_900.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_19_900.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_19_900.jpg,0,0,0,2.245263E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_19_971.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_19_971.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_19_971.jpg,0,0,0,5.170203E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_038.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_038.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_038.jpg,0,0,0,1.375442E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_108.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_108.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_108.jpg,0,0,0,7.261413E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_176.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_176.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_176.jpg,0,0,0,2.970508E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_245.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_245.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_245.jpg,0,0,0,1.197703E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_315.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_315.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_315.jpg,0,0,0,1.666162E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_385.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_385.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_385.jpg,0,0,0,1.117759E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_454.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_454.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_454.jpg,0,0,0,1.640953E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_523.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_523.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_523.jpg,0,0,0,1.106416E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_592.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_592.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_592.jpg,0,0,0,1.540242E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_661.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_661.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_661.jpg,0,0,0,1.972706E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_731.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_731.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_731.jpg,0,0,0,1.111201E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_799.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_799.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_799.jpg,0,0,0,7.031882E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_867.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_867.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_867.jpg,0,0,0,8.882739E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_20_934.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_20_934.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_20_934.jpg,0,0,0,3.660868E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_004.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_004.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_004.jpg,0,0,0,1.410403E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_074.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_074.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_074.jpg,0,0,0,1.430198E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_141.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_141.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_141.jpg,0,0,0,4.742712E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_211.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_211.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_211.jpg,0,0,0,6.628015E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_280.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_280.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_280.jpg,0,0,0,1.803647E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_349.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_349.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_349.jpg,0,0,0,1.298042E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_418.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_418.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_418.jpg,0,0,0,1.138378E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_488.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_488.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_488.jpg,0,0,0,6.46016E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_556.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_556.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_556.jpg,0,0,0,1.569641E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_625.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_625.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_625.jpg,0,0,0,8.560338E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_692.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_692.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_692.jpg,0,0,0,1.756111E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_760.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_760.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_760.jpg,0,0,0,2.345903E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_830.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_830.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_830.jpg,0,0,0,1.178827E-05
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_897.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_897.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_897.jpg,0,0,0,2.2181E-06
C:\cg_training\Self_Driving_Car\Data\IMG\center_2019_01_31_22_01_21_964.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\left_2019_01_31_22_01_21_964.jpg,C:\cg_training\Self_Driving_Car\Data\IMG\right_2019_01_31_22_01_21_964.jpg,0,0,0,1.370545E-05
